name,SENG 275 (Testing),SENG 310 (Human Computer Interaction),CSC 370 (Databases),CSC 375 (Systems Analysis),Testing experience,UML experience,UI experience,co-op experience,data science  experience,development experience,IT experience,quality assurance experience,research experience,system administration experience,Other experience,needed_colleagues names,Transportation preference,Health preference,Environment preference
Student_BI7C0GBL,Completed,Completed,Completed,Not Completed,Some Experience,Some Experience,Some Experience,Between 4 and 12 months,,,IT,,research,,Physical testing and Ocean Robotics Systems,No preference,3,2,1
Student_5248HL6G,Not Completed,Completed,Completed,Not Completed,Some Experience,Some Experience,Some Experience,Between 4 and 12 months,,,,quality assurance,,,,xyz,2,1,3
Student_3W8RMD05,Completed,Completed,Completed,Not Completed,Some Experience,Some Experience,Some Experience,Between 4 and 12 months,,,IT,,,,,abc,1,3,2
Student_0TXUZK50,Completed,Completed,Not Completed,Not Completed,Some Experience,,Significant Experience,Between 4 and 12 months,,,IT,,,system administration,,none,3,2,1
Student_55395WOW,,Completed,Completed,,,,Some Experience,Between 4 and 12 months,,development,,,,,Education,Bold of you to assume I know a single person in this class.,2,1,3
Student_HDLIWEL3,Completed,Completed,Not Completed,Not Completed,Some Experience,Some Experience,Some Experience,Between 4 and 12 months,,,IT,,,,,,3,2,1
Student_Z3U3K5EA,Not Completed,Not Completed,Completed,Not Completed,Some Experience,,Some Experience,Less than 4 months,,development,,,,,,I don't know anyone,3,1,2
Student_IPY5Z76B,Not Completed,Not Completed,Not Completed,Not Completed,,,Some Experience,Less than 4 months,,,,,,,,,1,2,3
Student_Z9TY963D,Completed,Completed,Completed,Not Completed,Significant Experience,Some Experience,,Greater than 12 months,,,,quality assurance,,,DevOps,n/a (I dont know who will be in this class) ,2,3,1
Student_Z0LQETRN,Completed,Completed,Completed,Not Completed,Some Experience,,Some Experience,Between 4 and 12 months,,,,,,,Game developer,pqr,3,1,2
Student_F9JIIMRK,Not Completed,Completed,Not Completed,Not Completed,,Some Experience,Some Experience,Less than 4 months,,,,,,,,I don’t know anyone in this course yet! ,1,2,3
Student_P4IBMLA5,Not Completed,Completed,Completed,Not Completed,Some Experience,,Some Experience,Greater than 12 months,,development,IT,,research,,,Anyone who is ambitious.,3,2,1
Student_ML1IIMZM,Not Completed,Completed,Completed,Not Completed,,,Some Experience,Between 4 and 12 months,data science,development,IT,,,system administration,,,2,1,3
Student_1KMUB0IZ,Completed,Completed,Completed,Not Completed,Some Experience,Some Experience,Some Experience,Between 4 and 12 months,,,IT,,research,,Physical testing and Ocean Robotics Systems,No preference,3,2,1
Student_CZJ7SCLQ,Not Completed,Completed,Completed,Not Completed,Some Experience,Some Experience,Some Experience,Between 4 and 12 months,,,,quality assurance,,,,,2,1,3
Student_FEPM6O98,Completed,Completed,Completed,Not Completed,Some Experience,Some Experience,Some Experience,Between 4 and 12 months,,,IT,,,,,,1,3,2
Student_CA4DIOSE,Completed,Completed,Not Completed,Not Completed,Some Experience,,Significant Experience,Between 4 and 12 months,,,IT,,,system administration,,none,3,2,1
Student_J0IU63WA,,Completed,Completed,,,,Some Experience,Between 4 and 12 months,,development,,,,,Education,Bold of you to assume I know a single person in this class.,2,1,3
Student_FE75BH3I,Completed,Completed,Not Completed,Not Completed,Some Experience,Some Experience,Some Experience,Between 4 and 12 months,,,IT,,,,,,3,2,1
Student_6LA9RETW,Not Completed,Not Completed,Completed,Not Completed,Some Experience,,Some Experience,Less than 4 months,,development,,,,,,I don't know anyone,3,1,2
Student_VSO4RBWD,Not Completed,Not Completed,Not Completed,Not Completed,,,Some Experience,Less than 4 months,,,,,,,,,1,2,3
Student_08UJIIS9,Completed,Completed,Completed,Not Completed,Significant Experience,Some Experience,,Greater than 12 months,,,,quality assurance,,,DevOps,n/a (I dont know who will be in this class) ,2,3,1
Student_B5D8CSS3,Completed,Completed,Completed,Not Completed,Some Experience,,Some Experience,Between 4 and 12 months,,,,,,,Game developer,,3,1,2
Student_HM3QJVHV,Not Completed,Completed,Not Completed,Not Completed,,Some Experience,Some Experience,Less than 4 months,,,,,,,,I don’t know anyone in this course yet! ,1,2,3
Student_QTL8VWQ9,Not Completed,Completed,Completed,Not Completed,Some Experience,,Some Experience,Greater than 12 months,,development,IT,,research,,,Anyone who is ambitious.,3,2,1
Student_DMMIRS4J,Not Completed,Completed,Completed,Not Completed,,,Some Experience,Between 4 and 12 months,data science,development,IT,,,system administration,,,2,1,3
